turn 1: upper: THROW symbol r to (4, -1)
turn 160: lower: SLIDE from (0, 1) to (0, 0)
turn 161: upper: SLIDE from (0, 1) to (0, 0)
turn 161: lower: SLIDE from (0, 0) to (0, -1)
turn 162: upper: SLIDE from (0, 0) to (0, -1)
turn 162: lower: SLIDE from (0, -1) to (0, -2)
turn 163: upper: SLIDE from (0, -1) to (0, -2)
turn 163: lower: SLIDE from (0, -2) to (0, -3)
turn 164: upper: SLIDE from (0, -2) to (0, -3)
turn 164: lower: SLIDE from (0, -3) to (0, -4)
turn 165: upper: SLIDE from (0, -3) to (0, -4)
turn 165: lower: SLIDE from (0, -4) to (-1, -3)
turn 166: upper: SLIDE from (0, -4) to (-1, -3)
turn 166: lower: SLIDE from (-1, -3) to (-2, -2)
turn 167: upper: SLIDE from (-1, -3) to (-2, -2)
turn 167: lower: SWING from (-2, -2) to (-3, 0)
turn 168: upper: THROW symbol r to (-1, -3)
turn 168: lower: SLIDE from (-3, 0) to (-3, 1)
turn 169: upper: SWING from (-1, -3) to (-3, -1)
turn 169: lower: SWING from (-3, -1) to (-4, 1)
turn 170: upper: SLIDE from (-3, -1) to (-4, 0)
turn 170: lower: SWING from (-4, 1) to (-3, 2)
turn 171: upper: SLIDE from (-2, -2) to (-2, -1)
turn 171: lower: SWING from (-3, 1) to (-4, 3)
turn 172: upper: SLIDE from (-4, 0) to (-3, 0)
turn 172: lower: SLIDE from (-3, 2) to (-3, 3)
turn 173: upper: SWING from (-2, -1) to (-3, 1)
turn 173: lower: SLIDE from (-3, 3) to (-3, 4)
turn 174: upper: SLIDE from (-3, 1) to (-3, 2)
turn 174: lower: SLIDE from (-4, 3) to (-4, 4)
turn 175: upper: SLIDE from (-3, 2) to (-3, 3)
turn 175: lower: SLIDE from (-4, 0) to (-3, -1)
turn 176: upper: SLIDE from (-3, 3) to (-4, 4)
turn 176: lower: THROW symbol p to (-3, 0)
turn 177: upper: THROW symbol r to (-2, 4)
turn 177: lower: SLIDE from (-3, 4) to (-3, 3)
turn 178: upper: SWING from (-2, 4) to (-3, 3)
turn 178: lower: SLIDE from (-3, 3) to (-4, 3)
turn 179: upper: THROW symbol p to (-3, -1)
turn 179: lower: SLIDE from (-4, 3) to (-4, 2)
turn 180: upper: THROW symbol s to (-3, 0)
turn 180: lower: THROW symbol r to (2, 2)
turn 181: upper: SLIDE from (-3, 3) to (-4, 3)
turn 181: lower: SLIDE from (-4, 2) to (-4, 1)
turn 182: upper: SLIDE from (-4, 3) to (-4, 2)
turn 182: lower: SLIDE from (-4, 1) to (-4, 0)
turn 183: upper: SLIDE from (-4, 2) to (-4, 1)
turn 183: lower: SLIDE from (-4, 0) to (-3, -1)
turn 184: upper: SWING from (-4, 1) to (-3, -1)
turn 184: lower: SLIDE from (-3, -1) to (-2, -2)
turn 185: upper: SLIDE from (-3, -1) to (-2, -2)
turn 185: lower: SLIDE from (-2, -2) to (-1, -2)
turn 186: upper: SLIDE from (-2, -2) to (-1, -2)
turn 186: lower: SLIDE from (-1, -2) to (-1, -1)
turn 187: upper: SLIDE from (-1, -2) to (-1, -1)
turn 187: lower: SLIDE from (-1, -1) to (-1, 0)
turn 188: upper: SLIDE from (-1, -1) to (-1, 0)
turn 188: lower: SLIDE from (-1, 0) to (-1, 1)
turn 189: upper: SLIDE from (-1, 0) to (-1, 1)
turn 189: lower: SLIDE from (-1, 1) to (-1, 2)
turn 190: upper: SLIDE from (-1, 1) to (-1, 2)
turn 190: lower: SLIDE from (-1, 2) to (-1, 3)
turn 191: upper: SLIDE from (-1, 2) to (-1, 3)
turn 191: lower: SLIDE from (-1, 3) to (0, 3)
turn 192: upper: SLIDE from (-1, 3) to (0, 3)
turn 192: lower: SLIDE from (0, 3) to (1, 2)
turn 193: upper: SLIDE from (0, 3) to (1, 2)
turn 193: lower: SLIDE from (1, 2) to (1, 1)
turn 194: upper: SLIDE from (1, 2) to (1, 1)
turn 194: lower: SLIDE from (1, 1) to (0, 1)
turn 195: upper: SLIDE from (1, 1) to (0, 1)
turn 195: lower: SLIDE from (0, 1) to (-1, 2)
turn 196: upper: SLIDE from (0, 1) to (-1, 2)
turn 196: lower: SLIDE from (-1, 2) to (-1, 3)
turn 197: upper: SLIDE from (-1, 2) to (-1, 3)
turn 197: lower: SLIDE from (-1, 3) to (0, 3)
turn 198: upper: SLIDE from (-1, 3) to (0, 3)
turn 198: lower: SLIDE from (0, 3) to (1, 2)
turn 199: upper: SLIDE from (0, 3) to (1, 2)
turn 199: lower: SWING from (1, 2) to (3, 1)
turn 200: upper: SLIDE from (1, 2) to (2, 2)
turn 200: lower: SWING from (2, 2) to (4, 0)
turn 201: upper: SLIDE from (2, 2) to (3, 1)
turn 201: lower: SWING from (3, 1) to (4, -1)
turn 202: upper: SLIDE from (3, 1) to (3, 0)
turn 202: lower: SLIDE from (4, -1) to (4, -2)
turn 203: upper: SLIDE from (3, 0) to (4, -1)
turn 203: lower: SLIDE from (4, -2) to (4, -3)
turn 204: upper: SLIDE from (4, -1) to (4, -2)
turn 204: lower: SLIDE from (4, -3) to (3, -3)
turn 205: upper: SLIDE from (4, -2) to (3, -2)
turn 205: lower: SLIDE from (3, -3) to (2, -3)
turn 206: upper: SLIDE from (3, -2) to (2, -2)
turn 206: lower: SLIDE from (2, -3) to (1, -3)
turn 207: upper: SLIDE from (2, -2) to (1, -2)
turn 207: lower: SLIDE from (1, -3) to (0, -3)
turn 208: upper: SLIDE from (1, -2) to (0, -2)
turn 208: lower: SLIDE from (0, -3) to (-1, -3)
turn 209: upper: SLIDE from (0, -2) to (-1, -2)
turn 209: lower: SLIDE from (-1, -3) to (-2, -2)
turn 210: upper: SLIDE from (-1, -2) to (-2, -2)
turn 210: lower: SLIDE from (-2, -2) to (-3, -1)
turn 211: upper: SLIDE from (-2, -2) to (-3, -1)
turn 211: lower: SLIDE from (-3, -1) to (-3, 0)
turn 212: upper: SLIDE from (-3, -1) to (-3, 0)
turn 212: lower: SLIDE from (4, 0) to (4, -1)
winner: upper
