turn 1: upper: THROW symbol r to (4, -2)
turn 1: lower: THROW symbol s to (-4, 2)
turn 174: upper: SLIDE from (-1, 0) to (-1, -1)
turn 174: lower: SLIDE from (-1, -2) to (0, -3)
turn 175: upper: SLIDE from (-1, -1) to (-1, -2)
turn 175: lower: SWING from (1, -3) to (-1, -2)
turn 176: upper: SWING from (-2, 2) to (0, 0)
turn 176: lower: SWING from (-1, -3) to (-1, -1)
turn 177: upper: SLIDE from (0, 0) to (0, -1)
turn 177: lower: SLIDE from (-1, -2) to (-1, -3)
turn 178: upper: SLIDE from (0, -1) to (1, -2)
turn 178: lower: SLIDE from (-1, -1) to (-1, 0)
turn 179: upper: SLIDE from (-1, 1) to (-1, 2)
turn 179: lower: SWING from (-2, -2) to (0, -4)
turn 180: upper: SLIDE from (1, -2) to (1, -3)
turn 180: lower: SLIDE from (0, -4) to (1, -4)
turn 181: upper: SLIDE from (1, -3) to (2, -3)
turn 181: lower: SLIDE from (-1, -3) to (-2, -2)
turn 182: upper: SLIDE from (2, -3) to (2, -2)
turn 182: lower: SLIDE from (-1, 0) to (-1, 1)
turn 183: upper: SLIDE from (-1, 2) to (-1, 3)
turn 183: lower: SLIDE from (-1, 1) to (-1, 2)
turn 184: upper: SLIDE from (-1, 3) to (0, 3)
turn 184: lower: SLIDE from (-1, 2) to (-1, 3)
turn 185: upper: SLIDE from (0, 3) to (1, 2)
turn 185: lower: SLIDE from (-1, 3) to (0, 3)
turn 186: upper: SLIDE from (1, 2) to (2, 1)
turn 186: lower: SLIDE from (0, 3) to (1, 2)
turn 187: upper: SLIDE from (2, 1) to (3, 0)
turn 187: lower: SLIDE from (1, 2) to (2, 1)
turn 188: upper: SLIDE from (3, 0) to (3, -1)
turn 188: lower: SLIDE from (2, 1) to (3, 0)
turn 189: upper: SLIDE from (3, -1) to (3, -2)
turn 189: lower: SWING from (-2, -2) to (-4, 0)
turn 190: upper: SLIDE from (3, -2) to (3, -3)
turn 190: lower: SWING from (-3, -1) to (-4, 1)
turn 191: upper: SWING from (3, -3) to (1, -1)
turn 191: lower: SWING from (1, -4) to (0, -2)
turn 192: upper: SLIDE from (1, -1) to (0, -1)
turn 192: lower: SWING from (0, -3) to (1, -2)
turn 193: upper: SLIDE from (0, -1) to (1, -2)
turn 193: lower: SWING from (0, -2) to (2, -2)
winner: lower
